Frame 1: Person - x: 167, y: 148, w: 470, h: 331, conf: 0.89
Frame 2: Person - x: 108, y: 140, w: 523, h: 338, conf: 0.89
Frame 3: Person - x: 108, y: 139, w: 526, h: 339, conf: 0.90
Frame 4: Person - x: 108, y: 139, w: 526, h: 339, conf: 0.90
Frame 5: Person - x: 109, y: 139, w: 529, h: 339, conf: 0.90
Frame 6: Person - x: 109, y: 139, w: 529, h: 339, conf: 0.90
Frame 7: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.89
Frame 8: Person - x: 108, y: 138, w: 527, h: 341, conf: 0.89
Frame 9: Person - x: 109, y: 139, w: 529, h: 339, conf: 0.90
Frame 10: Person - x: 109, y: 140, w: 529, h: 339, conf: 0.90
Frame 11: Person - x: 109, y: 140, w: 528, h: 338, conf: 0.90
Frame 12: Person - x: 107, y: 139, w: 530, h: 340, conf: 0.89
Frame 13: Person - x: 107, y: 139, w: 530, h: 340, conf: 0.89
Frame 14: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.89
Frame 15: Person - x: 109, y: 138, w: 529, h: 340, conf: 0.90
Frame 16: Person - x: 108, y: 138, w: 530, h: 341, conf: 0.89
Frame 17: Person - x: 108, y: 139, w: 530, h: 339, conf: 0.90
Frame 18: Person - x: 108, y: 140, w: 529, h: 338, conf: 0.90
Frame 19: Person - x: 107, y: 139, w: 530, h: 339, conf: 0.89
Frame 20: Person - x: 109, y: 139, w: 527, h: 339, conf: 0.90
Frame 21: Person - x: 108, y: 139, w: 527, h: 339, conf: 0.89
Frame 22: Person - x: 109, y: 140, w: 529, h: 339, conf: 0.89
Frame 23: Person - x: 109, y: 139, w: 528, h: 339, conf: 0.89
Frame 24: Person - x: 107, y: 139, w: 531, h: 339, conf: 0.89
Frame 25: Person - x: 108, y: 139, w: 530, h: 339, conf: 0.90
Frame 26: Person - x: 108, y: 139, w: 531, h: 339, conf: 0.90
Frame 27: Person - x: 108, y: 139, w: 530, h: 339, conf: 0.90
Frame 28: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.90
Frame 29: Person - x: 108, y: 139, w: 530, h: 339, conf: 0.89
Frame 30: Person - x: 109, y: 139, w: 528, h: 339, conf: 0.90
Frame 31: Person - x: 109, y: 139, w: 528, h: 339, conf: 0.89
Frame 32: Person - x: 109, y: 139, w: 529, h: 339, conf: 0.89
Frame 33: Person - x: 109, y: 138, w: 527, h: 340, conf: 0.90
Frame 34: Person - x: 109, y: 139, w: 528, h: 339, conf: 0.89
Frame 35: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.90
Frame 36: Person - x: 107, y: 139, w: 530, h: 339, conf: 0.89
Frame 37: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.90
Frame 38: Person - x: 108, y: 139, w: 530, h: 339, conf: 0.89
Frame 39: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.90
Frame 40: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.89
Frame 41: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.90
Frame 42: Person - x: 107, y: 139, w: 530, h: 339, conf: 0.89
Frame 43: Person - x: 107, y: 139, w: 530, h: 339, conf: 0.90
Frame 44: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.90
Frame 45: Person - x: 107, y: 139, w: 531, h: 339, conf: 0.89
Frame 46: Person - x: 108, y: 139, w: 530, h: 339, conf: 0.90
Frame 47: Person - x: 108, y: 139, w: 530, h: 339, conf: 0.90
Frame 48: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.90
Frame 49: Person - x: 107, y: 139, w: 530, h: 339, conf: 0.89
Frame 50: Person - x: 107, y: 139, w: 531, h: 339, conf: 0.89
Frame 51: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.89
Frame 52: Person - x: 107, y: 139, w: 530, h: 339, conf: 0.89
Frame 53: Person - x: 107, y: 139, w: 531, h: 339, conf: 0.90
Frame 54: Person - x: 107, y: 139, w: 531, h: 339, conf: 0.90
Frame 55: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.90
Frame 56: Person - x: 107, y: 139, w: 530, h: 339, conf: 0.90
Frame 57: Person - x: 107, y: 139, w: 530, h: 339, conf: 0.89
Frame 58: Person - x: 107, y: 139, w: 530, h: 339, conf: 0.89
Frame 59: Person - x: 108, y: 138, w: 530, h: 340, conf: 0.89
Frame 60: Person - x: 108, y: 139, w: 531, h: 339, conf: 0.90
Frame 61: Person - x: 108, y: 139, w: 530, h: 339, conf: 0.90
Frame 62: Person - x: 108, y: 139, w: 528, h: 339, conf: 0.89
Frame 63: Person - x: 109, y: 138, w: 528, h: 340, conf: 0.89
Frame 64: Person - x: 108, y: 138, w: 528, h: 340, conf: 0.89
Frame 65: Person - x: 109, y: 139, w: 528, h: 340, conf: 0.90
Frame 66: Person - x: 109, y: 139, w: 528, h: 340, conf: 0.90
Frame 67: Person - x: 109, y: 138, w: 527, h: 340, conf: 0.90
Frame 68: Person - x: 108, y: 139, w: 529, h: 339, conf: 0.90
Frame 69: Person - x: 108, y: 139, w: 531, h: 339, conf: 0.90
Frame 70: Person - x: 107, y: 139, w: 531, h: 338, conf: 0.90
Frame 71: Person - x: 113, y: 139, w: 523, h: 339, conf: 0.90
Frame 72: Person - x: 112, y: 139, w: 523, h: 339, conf: 0.91
Frame 73: Person - x: 113, y: 139, w: 523, h: 339, conf: 0.91
Frame 74: Person - x: 131, y: 138, w: 503, h: 340, conf: 0.91
Frame 75: Person - x: 143, y: 140, w: 495, h: 339, conf: 0.93
Frame 76: Person - x: 146, y: 140, w: 491, h: 338, conf: 0.93
Frame 77: Person - x: 147, y: 140, w: 491, h: 338, conf: 0.93
Frame 78: Person - x: 147, y: 141, w: 491, h: 338, conf: 0.92
Frame 79: Person - x: 147, y: 141, w: 492, h: 337, conf: 0.93
Frame 80: Person - x: 146, y: 140, w: 491, h: 338, conf: 0.93
Frame 81: Person - x: 146, y: 140, w: 492, h: 338, conf: 0.93
Frame 82: Person - x: 146, y: 141, w: 492, h: 337, conf: 0.93
Frame 83: Person - x: 146, y: 141, w: 492, h: 337, conf: 0.93
Frame 84: Person - x: 146, y: 141, w: 492, h: 337, conf: 0.94
